VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

NULLVALUE -666
NULLSTRING *

   40   474.238   390.569  0.004  0.019    9.185  122.747  5512.217  7465.197   4.436   4.990    9.085   10.372  471  477  387  394 +4.781949e+01 +2.490448e-02 +1.183621e+03 0.00000 1 None   23    1
   41   501.424   396.816  0.009  0.023    9.092  122.533  5456.536  7452.212   4.051   5.003    8.298   10.401  498  504  394  400 +2.775173e+01 +2.503826e-02 +6.955334e+02 0.00000 1 None   24    2
   42   505.880   396.790  0.004  0.022    9.077  122.534  5447.409  7452.266   3.746   5.107    7.672   10.615  503  508  394  400 +2.943024e+01 +2.457201e-02 +6.845840e+02 0.00000 1 None   24    2
   43   548.796   422.791  0.003  0.012    8.931  121.645  5359.511  7398.219   4.167   4.994    8.535   10.380  546  552  419  427 +5.162518e+01 +2.461513e-02 +1.269324e+03 0.00000 1 None   25    1
   44   741.666   423.852  0.005  0.012    8.272  121.609  4964.483  7396.014   4.362   5.055    8.935   10.507  739  745  420  428 +4.796575e+01 +2.473090e-02 +1.270574e+03 0.00000 1 None   26    1
   45   379.592   432.520  0.008  0.020    9.508  121.313  5706.067  7377.996   5.335   5.035   10.926   10.467  376  384  429  437 +5.154464e+01 +2.509182e-02 +1.599430e+03 0.00000 1 None   27    1
   46   749.897   435.196  0.003  0.013    8.244  121.221  4947.625  7372.433   4.086   4.974    8.368   10.340  747  753  432  439 +4.812570e+01 +2.452883e-02 +1.156680e+03 0.00000 1 None   28    1
   47   794.855   436.401  0.003  0.025    8.091  121.180  4855.543  7369.927   3.543   5.090    7.256   10.581  792  798  433  440 +3.537057e+01 +2.485146e-02 +9.081705e+02 0.00000 1 None   29    2
   48   799.240   436.394  0.003  0.022    8.076  121.180  4846.561  7369.942   3.512   5.045    7.192   10.487  797  801  433  440 +3.984972e+01 +2.499527e-02 +7.821405e+02 0.00000 1 None   29    2
   49   773.098   443.511  0.004  0.028    8.165  120.937  4900.104  7355.150   3.835   5.175    7.854   10.757  770  776  440  447 +3.753878e+01 +2.490834e-02 +1.050101e+03 0.00000 1 None   30    2
   50   776.782   443.511  0.003  0.026    8.152  120.937  4892.558  7355.148   3.566   5.223    7.304   10.858  774  780  440  447 +4.249115e+01 +2.506635e-02 +1.088381e+03 0.00000 1 None   30    2
   51   674.756   445.496  0.007  0.023    8.501  120.869  5101.525  7351.023   5.097   4.968   10.439   10.326  671  679  442  449 +4.247211e+01 +2.497356e-02 +1.246958e+03 0.00000 1 None   31    1
   52   658.995   447.451  0.006  0.031    8.554  120.802  5133.805  7346.959   4.645   5.062    9.513   10.523  656  662  444  451 +3.079238e+01 +2.477840e-02 +9.311901e+02 0.00000 1 None   32    2
   53   662.870   447.422  0.005  0.029    8.541  120.803  5125.869  7347.021   4.154   5.114    8.509   10.629  660  666  444  451 +3.277777e+01 +2.479339e-02 +9.337708e+02 0.00000 1 None   32    2
   54  1028.395   446.796  0.010  0.014    7.294  120.825  4377.216  7348.322   5.336   4.827   10.929   10.034 1024 1032  444  450 +4.058730e+01 +2.472590e-02 +1.187359e+03 0.00000 1 None   33    1
   55   810.409   450.284  0.004  0.010    8.038  120.706  4823.686  7341.071   4.199   4.883    8.600   10.151  807  813  447  453 +7.138645e+01 +2.504994e-02 +1.583815e+03 0.00000 1 None   34    1
   56   728.391   469.132  0.005  0.009    8.318  120.061  4991.671  7301.891   4.931   4.864   10.099   10.110  725  731  466  472 +6.141273e+01 +2.472723e-02 +1.481053e+03 0.00000 1 None   35    1
   57   994.498   477.981  0.011  0.012    7.409  119.759  4446.641  7283.497   5.151   4.838   10.551   10.057  990  998  475  481 +4.087585e+01 +2.484141e-02 +1.189912e+03 0.00000 1 None   36    1
   58   702.528   503.573  0.019  0.028    8.406  118.884  5044.643  7230.300   6.281   5.043   12.864   10.482  700  707  500  507 +3.297559e+01 +2.496705e-02 +1.255377e+03 0.00000 1 None   37    2
   59   706.078   503.577  0.004  0.026    8.394  118.884  5037.372  7230.291   4.261   5.200    8.727   10.810  703  709  500  507 +3.655192e+01 +2.474705e-02 +1.067179e+03 0.00000 1 None   37    2
   60   755.721   535.335  0.004  0.013    8.224  117.799  4935.695  7164.277   4.311   4.914    8.830   10.215  753  759  532  538 +5.647012e+01 +2.483854e-02 +1.299680e+03 0.00000 1 None   38    1
   61   496.424   548.740  0.009  0.025    9.109  117.340  5466.777  7136.412   4.033   4.989    8.261   10.370  494  499  546  552 +2.794040e+01 +2.510534e-02 +6.564621e+02 0.00000 1 None   39    2
   62   500.823   548.773  0.004  0.021    9.094  117.339  5457.767  7136.344   3.709   4.944    7.597   10.276  498  503  546  552 +2.965551e+01 +2.466452e-02 +6.735851e+02 0.00000 1 None   39    2
   63   728.662   563.406  0.004  0.017    8.317  116.839  4991.116  7105.926   3.810   5.004    7.803   10.401  726  732  560  567 +5.154989e+01 +2.514443e-02 +1.172099e+03 0.00000 1 None   40    1
   64  1137.574   565.810  0.008  0.013    6.921  116.757  4153.600  7100.930   4.888   4.979   10.011   10.349 1135 1141  562  570 +4.593544e+01 +2.482355e-02 +1.230641e+03 0.00000 1 None   41    1
   65   746.856   570.979  0.013  0.010    8.255  116.580  4953.853  7090.183   7.969   4.793   16.321    9.962  742  752  568  574 +4.515299e+01 +2.434132e-02 +1.483802e+03 0.00000 1 None   42    1
   66   603.434   589.460  0.007  0.025    8.744  115.949  5247.604  7051.768   4.225   5.071    8.653   10.542  600  606  586  593 +4.089702e+01 +2.532867e-02 +1.166131e+03 0.00000 1 None   43    2
   67   605.772   589.497  0.006  0.026    8.736  115.947  5242.815  7051.691   4.664   5.087    9.552   10.575  603  609  586  593 +4.053105e+01 +2.497369e-02 +1.189972e+03 0.00000 1 None   43    2
   68   685.386   591.615  0.011  0.027    8.464  115.875  5079.751  7047.289   5.163   5.185   10.575   10.777  681  689  588  595 +3.393426e+01 +2.490632e-02 +1.090623e+03 0.00000 1 None   44    1
   69  1001.862   598.994  0.004  0.019    7.384  115.623  4431.560  7031.949   3.607   5.109    7.389   10.620  999 1005  596  602 +2.737750e+01 +2.452798e-02 +6.739221e+02 0.00000 1 None   45    2
   70  1006.422   598.953  0.008  0.021    7.369  115.624  4422.219  7032.036   3.761   4.996    7.703   10.385 1003 1008  596  602 +2.574764e+01 +2.508375e-02 +6.051547e+02 0.00000 1 None   45    2
